row_id,type,from,condition,condition_var,condition_type,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response
1,send_message,start,,,,,This is the user input example flow.  ,,,,,,,,,,,,,,,21310f41-98fc-48e1-a00a-6be2cfde47d1,
2,send_message,1,,,,,This message allows the user to type a custom reply.,,,,,,,,,,,,,,,79848a95-8685-499c-9a40-1d11591b9562,
3,wait_for_response,2,,,,first_reply,,,,,,,,,,,,,,,,8493d2c8-7b5c-4edc-bc89-44f4afef00ac,
4,save_value,3,,,,first_reply,@results.first_reply,,,,,,,,,,,,,,,d3328109-cf4d-47ed-80e4-6baf8bb91cd2,
5,send_message,4,,,,,"This message has two quick replies, and also allows the user to type a custom reply.",quick reply 1,quick reply 2,custom reply,,,,,,,,,,,,918fe377-9eeb-44d3-96c8-5222c7df2cf7,
6,wait_for_response,5,,,,second_reply,,,,,,,,,,,,,,,,dc5002a2-05aa-4d76-8f28-49d8f8e35f6f,
7,save_value,6,,,,second_reply,@results.second_reply,,,,,,,,,,,,,,,1e024201-a4d9-4960-8aa8-beba973250b4,
8,split_by_value,7,,,,,@fields.second_reply,,,,,,,,,,,,,,,a718cd58-074b-443c-8c03-bb09729d63ed,
9,send_message,8,custom reply,@fields.second_reply,has_only_phrase,,Type your custom reply.,,,,,,,,,,,,,,,02dc8007-b119-4c30-b2df-d7c7a93a3760,
10,wait_for_response,9,,,,second_reply,,,,,,,,,,,,,,,,de2b677f-644b-4312-a103-d9bf666b2848,
11,save_value,10,,,,second_reply,@results.second_reply,,,,,,,,,,,,,,,3b78dd15-d974-4064-a046-fa2fa8dd0188,
12,send_message,11;8,,,,,Your first reply was @fields.first_reply and your second reply was @fields.second_reply. ,,,,,,,,,,,,,,,e23136bb-4ac4-4f0e-9ccb-926dbcc59411,
