row_id,type,from,condition,condition_var,condition_type,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response
1,send_message,start,,,,,This is the variables example flow.  ,,,,,,,,,,,,,,,e4a3ed99-2058-4282-9bf9-273a5dd267bf,
2,send_message,1,,,,,Choose a number.,1,2,,,,,,,,,,,,,6195da26-04a7-467c-8043-86b5b256e546,
3,wait_for_response,2,,,,favourite_number,,,,,,,,,,,,,,,,fe335993-9302-4f28-acad-f763c22f769c,
4,save_value,3,,,,favourite_number,@results.favourite_number,,,,,,,,,,,,,,,a153c405-f467-4228-b1c9-e03b7f73c1f2,
5,split_by_value,4,,,,,@fields.favourite_number,,,,,,,,,,,,,,,008a4e0d-8741-4d9c-b9d8-5470e3cb9bbb,
6,save_value,5,1,@fields.favourite_number,has_only_phrase,favourite_number_text,one,,,,,,,,,,,,,,,98e64485-1adf-4a87-8ef5-20573cc0f6c6,
7,save_value,5,2,@fields.favourite_number,has_only_phrase,favourite_number_text,two,,,,,,,,,,,,,,,99307ca3-ce43-4862-b29a-301b143d8504,
8,send_message,6;7,,,,,Now type a word.,,,,,,,,,,,,,,,e0fa826a-48a4-4b93-8315-7cfb8372a63a,
9,wait_for_response,8,,,,favourite_word,,,,,,,,,,,,,,,,b2f9d47b-9706-4183-9c11-3c7afd16e46d,
10,save_value,9,,,,favourite_word,@results.favourite_word,,,,,,,,,,,,,,,21be85c3-29c4-4390-8105-95e48e27080c,
11,send_message,10,,,,,"Your chosen number is @fields.favourite_number, that is, @fields.favourite_number_text. You typed the word @fields.favourite_word.",,,,,,,,,,,,,,,c745f6c4-b0af-476b-9685-781560240f62,
